;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
20;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;170;200;PR;668;370;838;370;668;570;838;570;170;200;170;200
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;320;400;CP;78;846;398;846;78;1246;398;1246;320;400;320;400
2;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;186;230;CV;1470;920;1656;920;1470;1150;1656;1150;186;230;186;230
3;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;290;390;DK;1098;746;1388;746;1098;1136;1388;1136;290;390;290;390
4;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;150;240;KV;580;620;730;620;580;860;730;860;150;240;150;240
5;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;340;390;MO;2090;862;2430;862;2090;1252;2430;1252;340;390;340;390
6;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;240;330;MS;2240;388;2480;388;2240;718;2480;718;240;330;240;330
7;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;210;270;MZ;1672;520;1882;520;1672;790;1882;790;210;270;210;270
8;ILLUMINATION I;Frontal;SCMFI-009-01-01.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;190;240;WS;1388;472;1578;472;1388;712;1578;712;190;240;190;240
9;ILLUMINATION I;Frontal;SCMFI-041-01-01.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;200;210;CC;1890;422;2090;422;1890;632;2090;632;200;210;200;210
10;ILLUMINATION I;Frontal;SCMFI-041-01-01.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;150;180;FP;1510;532;1660;532;1510;712;1660;712;150;180;150;180
11;ILLUMINATION I;Frontal;SCMFI-041-01-01.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;180;210;AC;390;488;570;488;390;698;570;698;180;210;180;210
12;ILLUMINATION I;Frontal;SCMFI-041-01-01.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;190;190;ES;1104;510;1294;510;1104;700;1294;700;190;190;190;190
13;ILLUMINATION I;Frontal;SCMFI-041-01-01.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;140;180;AK;804;526;944;526;804;706;944;706;140;180;140;180
14;ILLUMINATION I;Frontal;SCMFI-077-01-01.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;160;190;AL;1566;310;1726;310;1566;500;1726;500;160;190;160;190
15;ILLUMINATION I;Frontal;SCMFI-077-01-01.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;160;200;GB;1130;390;1290;390;1130;590;1290;590;160;200;160;200
16;ILLUMINATION I;Frontal;SCMFI-077-01-01.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;190;240;GK;830;300;1020;300;830;540;1020;540;190;240;190;240
17;ILLUMINATION I;Frontal;SCMFI-077-01-01.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;180;230;JN;1354;390;1534;390;1354;620;1534;620;180;230;180;230
18;ILLUMINATION I;Frontal;SCMFI-077-01-01.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;180;210;JP;140;470;320;470;140;680;320;680;180;210;180;210
19;ILLUMINATION I;Frontal;SCMFI-077-01-01.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;190;190;NK;430;376;620;376;432;566;622;566;190;190;190;190
20;ILLUMINATION I;Frontal;SCMFI-077-01-01.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;240;270;PR;2100;268;2340;268;2100;538;2340;538;240;270;240;270
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;330;400;CP;48;858;378;858;48;1258;378;1258;330;400;330;400
2;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;210;270;CV;1004;400;1214;400;1004;670;1214;670;210;270;210;270
3;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;290;390;DK;1074;772;1364;772;1074;1162;1364;1162;290;390;290;390
4;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;160;240;KV;554;628;714;628;554;868;714;868;160;240;160;240
5;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;340;400;MO;2076;864;2416;864;2076;1264;2416;1264;340;400;340;400
6;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;240;320;MS;2230;394;2470;394;2230;714;2470;714;240;320;240;320
7;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;200;280;MZ;1664;518;1864;518;1664;798;1864;798;200;280;200;280
8;ILLUMINATION II;Frontal;SCMFI-011-01-03.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;190;230;WS;1364;490;1554;490;1364;720;1554;720;190;230;190;230
9;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;200;200;CC;1882;450;2082;450;1882;650;2082;650;200;200;200;200
10;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;150;180;FP;1502;540;1652;540;1502;720;1652;720;150;180;150;180
11;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;180;220;AC;396;494;576;494;396;714;576;714;180;220;180;220
12;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;190;190;ES;1112;510;1302;510;1112;700;1302;700;190;190;190;190
13;ILLUMINATION II;Frontal;SCMFI-043-01-03.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;144;170;AK;806;536;950;536;806;706;950;706;144;170;144;170
14;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;160;180;AL;1574;316;1734;316;1574;496;1734;496;160;180;160;180
15;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;160;190;GB;1130;400;1290;400;1130;590;1290;590;160;190;160;190
16;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;190;220;GK;820;316;1010;316;820;536;1010;536;190;220;190;220
17;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;180;220;JN;1354;398;1534;398;1354;618;1534;618;180;220;180;220
18;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;160;220;JP;146;470;306;470;146;690;306;690;160;220;160;220
19;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;190;200;NK;436;368;626;368;436;568;626;568;190;200;190;200
20;ILLUMINATION II;Frontal;SCMFI-079-01-03.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;240;250;PR;2096;290;2336;290;2096;540;2336;540;240;250;240;250
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;320;400;CP;50;860;370;860;50;1260;370;1260;320;400;320;400
2;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;210;270;CV;1010;402;1220;402;1010;672;1220;672;210;270;210;270
3;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;300;390;DK;1070;776;1370;776;1070;1166;1370;1166;300;390;300;390
4;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;160;230;KV;554;634;714;634;554;864;714;864;160;230;160;230
5;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;340;380;MO;2078;878;2418;878;2078;1258;2418;1258;340;380;340;380
6;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;240;330;MS;2230;392;2470;392;2230;722;2470;722;240;330;240;330
7;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;210;270;MZ;1668;522;1878;522;1668;792;1878;792;210;270;210;270
8;ILLUMINATION III;Frontal;SCMFI-012-01-04.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;190;230;WS;1360;490;1550;490;1360;720;1550;720;190;230;190;230
9;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;200;200;CC;1882;450;2082;450;1882;650;2082;650;200;200;200;200
10;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;150;180;FP;1502;540;1652;540;1502;720;1652;720;150;180;150;180
11;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;180;220;AC;396;494;576;494;396;714;576;714;180;220;180;220
12;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;190;190;ES;1112;510;1302;510;1112;700;1302;700;190;190;190;190
13;ILLUMINATION III;Frontal;SCMFI-044-01-04.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;144;170;AK;806;536;950;536;806;706;950;706;144;170;144;170
14;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;160;180;AL;1574;316;1734;316;1574;496;1734;496;160;180;160;180
15;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;160;190;GB;1130;400;1290;400;1130;590;1290;590;160;190;160;190
16;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;190;220;GK;820;316;1010;316;820;536;1010;536;190;220;190;220
17;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;180;220;JN;1354;398;1534;398;1354;618;1534;618;180;220;180;220
18;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;160;220;JP;146;470;306;470;146;690;306;690;160;220;160;220
19;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;190;200;NK;436;368;626;368;436;568;626;568;190;200;190;200
20;ILLUMINATION III;Frontal;SCMFI-080-01-04.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;240;250;PR;2096;290;2336;290;2096;540;2336;540;240;250;240;250
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;170;190;CP;162;472;332;472;162;662;332;662;170;190;170;190
2;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;220;280;CV;2210;368;2430;368;2210;648;2430;648;220;280;220;280
3;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;160;210;DK;1040;442;1200;442;1040;652;1200;652;160;210;160;210
4;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;250;330;KV;446;488;696;488;446;818;696;818;250;330;250;330
5;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;220;260;MO;670;404;890;404;670;664;890;664;220;260;220;260
6;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;200;290;MS;1332;460;1532;460;1332;750;1532;750;200;290;200;290
7;ILLUMINATION I;Frontal;SCMFI-013-02-01.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;290;400;MZ;1626;960;1916;960;1626;1360;1916;1360;290;400;290;400
